interface,program_id,contrast_id,inferential_role,effect,defined_effect_rows,denominator_kind,effect_max,effect_min,in_contrast_rows,max_absolute_effect_change,relevant_unit_denominator,sensitivity_only,status,strict_sign_reversal_rows
exact_symbol_ensembl_bijection,ets2_g1_dn,PSC_minus_AIH,sole_discovery_family,-0.021094291316559488,47,in_contrast_units_only,0.0035776242878884368,-0.03596032546654282,47,0.024671915604447925,47,true,available,1
exact_symbol_ensembl_bijection,ets2_g1_dn,PSC_minus_ASC,sole_discovery_family,0.018065002272100728,34,in_contrast_units_only,0.06870812481081412,0.0008137250536193186,34,0.05064312253871339,34,true,available,0
exact_symbol_ensembl_bijection,ets2_g1_dn,ASC_minus_AIH,sole_discovery_family,-0.039159293588660216,47,in_contrast_units_only,-0.01448737798421229,-0.08980241612737361,47,0.05064312253871339,47,true,available,0
exact_symbol_ensembl_bijection,ets2_g1_up,PSC_minus_AIH,sole_discovery_family,-0.016244753716735616,47,in_contrast_units_only,-0.003787977808602516,-0.03115306493054426,47,0.014908311213808645,47,true,available,0
exact_symbol_ensembl_bijection,ets2_g1_up,PSC_minus_ASC,sole_discovery_family,-0.011235603963001495,34,in_contrast_units_only,0.02285824189009844,-0.02614391517681014,34,0.034093845853099936,34,true,available,1
exact_symbol_ensembl_bijection,ets2_g1_up,ASC_minus_AIH,sole_discovery_family,-0.005009149753734121,47,in_contrast_units_only,0.009070561601660643,-0.03910299560683406,47,0.034093845853099936,47,true,available,12
exact_symbol_ensembl_bijection,ets2_g2_dn,PSC_minus_AIH,sole_discovery_family,-0.021149909987545623,47,in_contrast_units_only,0.0031138909329069264,-0.0359753675226977,47,0.02426380092045255,47,true,available,1
exact_symbol_ensembl_bijection,ets2_g2_dn,PSC_minus_ASC,sole_discovery_family,0.02418944047594307,34,in_contrast_units_only,0.07258724240451642,0.006526034037726447,34,0.04839780192857335,34,true,available,0
exact_symbol_ensembl_bijection,ets2_g2_dn,ASC_minus_AIH,sole_discovery_family,-0.04533935046348869,47,in_contrast_units_only,-0.021075549543036143,-0.09373715239206204,47,0.04839780192857335,47,true,available,0
exact_symbol_ensembl_bijection,chr21_dn,PSC_minus_AIH,sole_discovery_family,-0.054014943012913985,47,in_contrast_units_only,-0.019348664960519013,-0.08644965667332061,47,0.03466627805239497,47,true,available,0
exact_symbol_ensembl_bijection,chr21_dn,PSC_minus_ASC,sole_discovery_family,0.04685896403601264,34,in_contrast_units_only,0.11482417499275588,0.014424250375606018,34,0.06796521095674324,34,true,available,0
exact_symbol_ensembl_bijection,chr21_dn,ASC_minus_AIH,sole_discovery_family,-0.10087390704892663,47,in_contrast_units_only,-0.06620762899653165,-0.16883911800566986,47,0.06796521095674324,47,true,available,0
exact_symbol_ensembl_bijection,inflammation,PSC_minus_AIH,sole_discovery_family,-0.027186329715217283,47,in_contrast_units_only,-0.010092478006721528,-0.0450058708017993,47,0.017819541086582014,47,true,available,0
