program_id,official_program_name,msigdb_systematic_id,exact_source_id,msigdb_version,reactome_release,source_species,source_member_index,source_value,source_identifier_namespace,published_ncbi_gene_id,original_source_ids,original_source_id_namespace,original_source_row_indices,original_source_id_count,published_direction,membership_weight,mapping_authority,membership_json_sha256,source_id_table_html_sha256
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,1,A2M,MSigDB_geneSymbols,2,ENSG00000175899,Human_Ensembl_Gene_ID,275,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,2,ACAN,MSigDB_geneSymbols,176,ENSG00000157766,Human_Ensembl_Gene_ID,211,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,3,ACTA1,MSigDB_geneSymbols,58,ENSG00000143632,Human_Ensembl_Gene_ID,181,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,4,ACTA2,MSigDB_geneSymbols,59,ENSG00000107796,Human_Ensembl_Gene_ID,80,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,5,ACTB,MSigDB_geneSymbols,60,ENSG00000075624,Human_Ensembl_Gene_ID,28,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,6,ACTC1,MSigDB_geneSymbols,70,ENSG00000159251,Human_Ensembl_Gene_ID,214,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,7,ACTG1,MSigDB_geneSymbols,71,ENSG00000184009;ENSG00000291420,Human_Ensembl_Gene_ID,283;338,2,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,8,ACTG2,MSigDB_geneSymbols,72,ENSG00000163017,Human_Ensembl_Gene_ID,226,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,9,ACTN1,MSigDB_geneSymbols,87,ENSG00000072110,Human_Ensembl_Gene_ID,25,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
reactome_ecm_organization,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,M610,R-HSA-1474244,2026.1.Hs,95,Homo sapiens,10,ADAM10,MSigDB_geneSymbols,102,ENSG00000137845,Human_Ensembl_Gene_ID,157,1,UNSIGNED,1,MSigDB_published_projection_not_independently_reconciled,2046e084f1c36c74cf107c8448d19bb4f47bb2bf37b45b2388fd3d1b837b6540,0bce8c070ad8e24961cd22fabd57da8cf26161f7ece5d3da49715812ac1895a6
