dataset_key,dataset_id,modality,suspension_type,assay,author_cell_type,program_id,threshold,status,raw_summary_status,observed_donors,eligible_donors,score_eligible_donors,observed_groups,zero_denominator_groups,cell_gate_failed_groups,source_intended_genes,mapped_program_genes,mapping_fraction,donors_with_any_program_umi,median_genes_detected,minimum_genes_detected,maximum_genes_detected,median_program_mean_log2_cpm1,minimum_program_mean_log2_cpm1,maximum_program_mean_log2_cpm1,median_matched_background_log2_cpm1,median_program_score,minimum_program_score,maximum_program_score,positive_score_count,median_conditional_percentile,minimum_conditional_percentile,maximum_conditional_percentile
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,apoptotic_signaling,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,588,573,0.9744897959183674,4,487.5,427.0,506.0,4.101738260810103,3.6887793621128333,4.228862549281657,4.0169989756819895,0.08631791943506562,-0.03420578145451891,0.1945499981529668,3,0.839,0.165,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,apoptotic_signaling,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,588,573,0.9744897959183674,3,490.0,485.0,506.0,4.151426880470036,4.05204964115017,4.228862549281657,4.077121069046909,0.15174148023474832,-0.03420578145451891,0.1945499981529668,2,1.0,0.165,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,chr21_dn,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,141,135,0.9574468085106383,4,131.0,124.0,133.0,5.4738787903509225,5.128176084662857,5.546689538168154,5.625720556799211,-0.16360712551029755,-0.2985529296999738,-0.030528706141728534,0,0.051500000000000004,0.0,0.38
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,chr21_dn,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,141,135,0.9574468085106383,3,132.0,130.0,133.0,5.539142208663702,5.408615372038143,5.546689538168154,5.674222869288538,-0.13508066062483604,-0.2985529296999738,-0.030528706141728534,0,0.067,0.0,0.38
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_dn,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,927,906,0.9773462783171522,4,878.5,780.0,888.0,4.6872245525788125,4.247598873345505,4.785078260153951,4.82647347548939,-0.15022016079181766,-0.18927783107373397,-0.10949795127977957,0,0.0,0.0,0.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_dn,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,927,906,0.9773462783171522,3,880.0,877.0,888.0,4.736263330769214,4.638185774388411,4.785078260153951,4.894576211433731,-0.12018496515663912,-0.1802553564269962,-0.10949795127977957,0,0.0,0.0,0.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_dn_without_comparators,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,927,741,0.7993527508090615,4,719.0,638.0,726.0,4.5652195980159025,4.151338119356594,4.667740583960498,4.69952440752333,-0.13409636037403017,-0.15629881268264878,-0.11231080633220536,0,0.0005,0.0,0.001
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_dn_without_comparators,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,927,741,0.7993527508090615,3,722.0,716.0,726.0,4.657542006594991,4.472897189436815,4.667740583960498,4.769852812927196,-0.1232170585109218,-0.15629881268264878,-0.11231080633220536,0,0.0,0.0,0.001
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_up,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,668,583,0.8727544910179641,4,547.5,483.0,557.0,4.946011072690138,4.483893816777159,5.107607819372716,4.54135228983644,0.3974309749943572,0.3131873817627753,0.5005533641661248,4,1.0,1.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g1_up,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,668,583,0.8727544910179641,3,548.0,547.0,557.0,4.991218831854571,4.900803313525705,5.107607819372716,4.607054455206591,0.425153189059416,0.3697087609292984,0.5005533641661248,3,1.0,1.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g2_dn,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,875,859,0.9817142857142858,4,837.0,743.0,846.0,4.687895315890929,4.2491951590121,4.775340388497966,4.794738744359471,-0.11726625400280488,-0.1507493953587007,-0.08832730019610491,0,0.0005,0.0,0.001
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,ets2_g2_dn,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,875,859,0.9817142857142858,3,839.0,835.0,846.0,4.771992547574004,4.6037980842078525,4.775340388497966,4.863667688694071,-0.11252079218859201,-0.12201171581701775,-0.08832730019610491,0,0.001,0.0,0.001
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,inflammation,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,815,751,0.9214723926380368,4,574.5,449.0,605.0,3.3523466669257074,2.9691683247721388,3.4859010295935655,3.3621916378715797,0.005173454854245918,-0.15980502051392698,0.14011507862218275,2,0.535,0.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,inflammation,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,815,751,0.9214723926380368,3,588.0,561.0,605.0,3.4434974332768435,3.261195900574571,3.4859010295935655,3.421000921088498,0.06294706509687087,-0.15980502051392698,0.14011507862218275,2,0.978,0.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,interferon_gamma,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,139,137,0.9856115107913669,4,114.0,101.0,117.0,4.380633346230347,4.0299906022821,4.646520730048547,4.2412422038176745,0.22565546413821713,-0.15044795675054434,0.4199049315383041,3,0.9159999999999999,0.027,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,interferon_gamma,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,139,137,0.9856115107913669,3,116.0,112.0,117.0,4.609087354915337,4.152179337545356,4.646520730048547,4.293301984258316,0.3532187457902305,-0.15044795675054434,0.4199049315383041,2,1.0,0.027,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,oxidative_stress,20,evaluable_descriptive,evaluable_descriptive,8,4,4,8,0,4,436,419,0.9610091743119266,4,351.5,298.0,360.0,3.9431796043460974,3.5362844466521435,4.047840894241193,3.938101679802908,-0.001050649328191433,-0.06993900628944205,0.06828655736183009,2,0.5385,0.034,0.942
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,ActMac,oxidative_stress,50,evaluable_descriptive,evaluable_descriptive,8,3,3,8,0,5,436,419,0.9610091743119266,3,357.0,346.0,360.0,3.9457733088264364,3.940585899865758,4.047840894241193,3.998716608141209,0.049124286099984094,-0.06993900628944205,0.06828655736183009,2,0.894,0.034,0.942
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,apoptotic_signaling,20,evaluable_descriptive,evaluable_descriptive,8,8,8,8,0,0,588,573,0.9744897959183674,8,470.5,412.0,522.0,3.830270069093006,3.6124262869464316,4.205136542513778,3.799342747074775,0.030927322018230896,-0.07198726113513576,0.27059537180287885,5,0.746,0.024,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,apoptotic_signaling,50,evaluable_descriptive,evaluable_descriptive,8,6,6,8,0,2,588,573,0.9744897959183674,6,487.5,429.0,522.0,3.9602918912580503,3.6124262869464316,4.205136542513778,3.852481487671539,0.09496606168607458,-0.07198726113513576,0.27059537180287885,4,0.9495,0.024,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,chr21_dn,20,evaluable_descriptive,evaluable_descriptive,8,8,8,8,0,0,141,135,0.9574468085106383,8,129.5,120.0,135.0,5.523405246492821,4.97211543804036,5.969216216159126,5.411744086820139,0.11166115967268153,-0.2623831443832021,0.5383813879905626,7,0.858,0.005,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,chr21_dn,50,evaluable_descriptive,evaluable_descriptive,8,6,6,8,0,2,141,135,0.9574468085106383,6,132.0,124.0,135.0,5.6140099040093565,4.97211543804036,5.969216216159126,5.403663438270175,0.11745321664285324,-0.2623831443832021,0.5383813879905626,5,0.7989999999999999,0.005,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,ets2_g1_dn,20,evaluable_descriptive,evaluable_descriptive,8,8,8,8,0,0,927,906,0.9773462783171522,8,855.5,789.0,896.0,4.60981152331197,4.225670837506965,5.013855086479561,4.581224500342258,0.04648370453362949,-0.15512937421563944,0.1854358429013203,5,0.8925000000000001,0.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,ets2_g1_dn,50,evaluable_descriptive,evaluable_descriptive,8,6,6,8,0,2,927,906,0.9773462783171522,6,873.0,797.0,896.0,4.706698877340411,4.225670837506965,5.013855086479561,4.624733799230345,0.02880160179598823,-0.15512937421563944,0.1854358429013203,3,0.644,0.0,1.0
sc,02792605-4760-4023-82ad-40fc4458a5db,sc,cell,10x 5' v2,Kupffer,ets2_g1_dn_without_comparators,20,evaluable_descriptive,evaluable_descriptive,8,8,8,8,0,0,927,741,0.7993527508090615,8,698.0,647.0,731.0,4.548156149998453,4.096072993810672,4.976823035239554,4.451281898225686,0.10848696976829952,-0.1496618629696167,0.15047544362342613,6,0.998,0.0,1.0
